spike_motif,n1,n2,t1,t2,motif_class_num
1,0,0,0,0,I
2.1,0,0,0,1,II
2.2,0,0,0,-1,II
3.1,0,0,1,0,II
3.2,0,0,-1,0,II
4.1,0,0,1,1,II
4.2,0,0,1,-1,III
4.3,0,0,-1,1,III
4.4,0,0,-1,-1,II
5.1,0,1,0,0,IV
5.2,0,-1,0,0,IV
6.1,0,1,0,1,IV
6.2,0,1,0,-1,VIII
6.3,0,-1,0,1,IV
6.4,0,-1,0,-1,VIII
7.1.1,0,1,2,1,X
7.1.2,0,1,1,2,VIII
7.1.3,0,1,1,1,VIII
7.2,0,1,-1,0,VIII
7.3,0,-1,1,0,VII
7.4.1,0,-1,-1,-2,XI
7.4.2,0,-1,-2,-1,IX
7.4.3,0,-1,-1,-1,VII
8.1.1,0,1,2,1,X
8.1.2,0,1,1,2,VIII
8.1.3,0,1,1,1,VIII
8.2.1,0,1,2,1,X
8.2.2,0,1,1,2,VIII
8.2.3,0,1,1,1,VIII
8.3,0,1,-1,1,IX
8.4,0,1,-1,-1,VII
8.5,0,-1,1,1,VIII
8.6,0,-1,1,-1,X
8.7.1,0,-1,-1,-2,XI
8.7.2,0,-1,-2,-1,IX
8.7.3,0,-1,-1,-1,VII
8.8.1,0,-1,-1,-2,XI
8.8.2,0,-1,-2,-1,IX
8.8.3,0,-1,-1,-1,VII
9.1,1,0,0,0,IV
9.2,-1,0,0,0,IV
10.1,1,0,0,1,VII
10.2,1,0,0,-1,VIII
10.3,-1,0,0,1,VII
10.4,-1,0,0,-1,VIII
11.1,1,0,1,0,IV
11.2,1,0,-1,0,VIII
11.3,-1,0,1,0,IV
11.4,-1,0,-1,0,VIII
12.1,1,0,1,1,VIII
12.2,1,0,1,-1,IX
12.3,1,0,-1,1,X
12.4,1,0,-1,-1,VII
12.5,-1,0,1,1,VIII
12.6,-1,0,1,-1,IX
12.7,-1,0,-1,1,X
12.8,-1,0,-1,-1,VII
13.1,1,1,0,0,IV
13.2,1,-1,0,0,V
13.3,-1,1,0,0,V
13.4,-1,-1,0,0,IV
14.1,1,1,0,1,VII
14.2,1,1,0,-1,VIII
14.3,1,-1,0,1,XIII
14.4,1,-1,0,-1,XII
14.5,-1,1,0,1,XIII
14.6,-1,1,0,-1,XII
14.7,-1,-1,0,1,VII
14.8,-1,-1,0,-1,VIII
15.1.1,1,1,2,1,IX
15.1.2,1,1,1,2,IX
15.1.3,1,1,1,1,IV
15.2,1,1,-1,0,VIII
15.3,1,-1,1,0,XIII
15.4.1,1,-1,-1,-2,XIV
15.4.2,1,-1,-2,-1,XIV
15.4.3,1,-1,-1,-1,XIII
15.5.1,-1,1,2,1,XIV
15.5.2,-1,1,1,2,XIV
15.5.3,-1,1,1,1,XII
15.6,-1,1,-1,0,XII
15.7,-1,-1,1,0,VII
15.8.1,-1,-1,-1,-2,VII
15.8.2,-1,-1,-2,-1,VII
15.8.3,-1,-1,-1,-1,IV
16.1.1,1,1,2,1,IX
16.1.2,1,1,1,2,IX
16.1.3,1,1,1,1,IV
16.2.1,1,1,2,1,IX
16.2.2,1,1,1,2,IX
16.2.3,1,1,1,1,IV
16.3,1,1,-1,1,VIII
16.4,1,1,-1,-1,IV
16.5,1,-1,1,1,XII
16.6,1,-1,1,-1,XIV
16.7.1,1,-1,-1,-2,XIV
16.7.2,1,-1,-2,-1,XIV
16.7.3,1,-1,-1,-1,XIII
16.8.1,1,-1,-1,-2,XIV
16.8.2,1,-1,-2,-1,XIV
16.8.3,1,-1,-1,-1,XIII
16.9.1,-1,1,2,1,XIV
16.9.2,-1,1,1,2,XIV
16.9.3,-1,1,1,1,XII
16.10.1,-1,1,2,1,XIV
16.10.2,-1,1,1,2,XIV
16.10.3,-1,1,1,1,XII
16.11,-1,1,-1,1,XIV
16.12,-1,1,-1,-1,XIII
16.13,-1,-1,1,1,IV
16.14,-1,-1,1,-1,VIII
16.15.1,-1,-1,-1,-2,VII
16.15.2,-1,-1,-2,-1,VII
16.15.3,-1,-1,-1,-1,IV
16.16.1,-1,-1,-1,-2,VII
16.16.2,-1,-1,-2,-1,VII
16.16.3,-1,-1,-1,-1,IV
